"","name","country","legible","results","sentences","page"
"1","Agriculture Sectoral Development Strategy","12","Some taxes, such as the local governments cess, create artificial barriers to the movement of goods and create fertile ground for corruption. To remove these fiscal disincentives and encourage private sector investment in agriculture, forestry and wildlife, the government will review all taxation laws and regulations to rationalize taxes, cesses, fees and levies charged on agricultural products by local authorities and the central government. This will ensure that such charges are paid only where a service is being provided. **114**",0.546875976357953,"some taxes, such as the local governments cess, create artificial barriers to the movement of goods and create fertile ground for corruption. to remove these fiscal disincentives and encourage private sector investment in agriculture, forestry and wildlife, the government will review all taxation laws and regulations to rationalize taxes, cesses, fees and levies charged on agricultural products by local authorities and the central government. this will ensure that such charges are paid only where a service is being provided.","114"
"2","Agriculture Sectoral Development Strategy","12","To contribute significantly to the development and growth of the agricultural sector, the role of the private sector in providing physical and social infrastructure, production, processing, input and output marketing, imports and exports, providing financial services and goods and services will need to be clearly defined. To facilitate effective participation, appropriate reforms in the legal and regulatory framework shall be instituted. **5**",0.460444115114057,"to contribute significantly to the development and growth of the agricultural sector, the role of the private sector in providing physical and social infrastructure, production, processing, input and output marketing, imports and exports, providing financial services and goods and services will need to be clearly defined. to facilitate effective participation, appropriate reforms in the legal and regulatory framework shall be instituted.","5"
"3","Agriculture Sectoral Development Strategy","12","Vision 2030 requires the rate of growth of the economy to rise from 7.1 per cent achieved in 2007 to 10 per cent by 201213. Achieving these growth targets will require continued implementation of prudent fiscal, monetary and exchange rate policies; enhanced efforts to raise the level of investment and savings; and accelerated structural reforms to increase the efficiency of both physical and human capital and raise total factor productivity. While farmers in many countries are subsidized sometimes by as much as 100 per cent, kenyan farmers face numerous direct and indirect taxes, which make agriculture uncompetitive internationally. The central government and the local authorities charge a wide range of taxes, levies, cesses and fees on farm produce and forestry products, and on farm inputs and services. These taxes, levies, cesses and fees distort market prices and make farm produce uncompetitive on the domestic and international markets. It is also difficult to efficiently administer multiple agricultural taxes. **114**",0.435028782299166,"vision 203 0 requires the rate of growth of the economy to rise from 7.1 per cent achieved in 200 7 to 1 0 per cent by 201 21 3. achieving these growth targets will require continued implementation of prudent fiscal, monetary and exchange rate policies; enhanced efforts to raise the level of investment and savings; and accelerated structural reforms to increase the efficiency of both physical and human capital and raise total factor productivity. while farmers in many countries are subsidized sometimes by as much as 10 0 per cent, kenyan farmers face numerous direct and indirect taxes, which make agriculture uncompetitive internationally. the central government and the local authorities charge a wide range of taxes, levies, cesses and fees on farm produce and forestry products, and on farm inputs and services. these taxes, levies, cesses and fees distort market prices and make farm produce uncompetitive on the domestic and international markets. it is also difficult to efficiently administer multiple agricultural taxes.","114"
"4","Agriculture Sectoral Development Strategy","12","Cooperatives play an important role not only in the supply of major farm inputs but also in influencing competitive pricing. However, supply and pricing are affected by capital constraints, sourcing of inputs, lack of skills in import business, and restrictive domestic laws that limit investment by potential competitors. **82**",0.432064042994499,"cooperatives play an important role not only in the supply of major farm inputs but also in influencing competitive pricing. however, supply and pricing are affected by capital constraints, sourcing of inputs, lack of skills in import business, and restrictive domestic laws that limit investment by potential competitors.","82"
"5","Agriculture Sectoral Development Strategy","12","Supply of major farm inputs and competitive pricing are affected by capital constraints, where to source for inputs, lack of skills in importation business, and restrictive domestic laws that limit investment by potential competitors. **83**",0.428437602734505,"supply of major farm inputs and competitive pricing are affected by capital constraints, where to source for inputs, lack of skills in importation business, and restrictive domestic laws that limit investment by potential competitors.","83"
"6","Agriculture Sectoral Development Strategy","12","Services and technologies, and poor access to input markets. Exploitation by intermediaries also creates distortions in the market. Many primary marketing cooperatives have lost business due to weak internal marketing capacity, weak capital base, loss of monopoly, protection previously enjoyed by some societies, inadequate trained personnel to deal with modern ways of marketing, limited value addition and delayed payments for delivered produce. Agricultural exports have relied heavily on a few key markets. **83**",0.428398181170244,"services and technologies, and poor access to input markets. exploitation by intermediaries also creates distortions in the market. many primary marketing cooperatives have lost business due to weak internal marketing capacity, weak capital base, loss of monopoly, protection previously enjoyed by some societies, inadequate trained personnel to deal with modern ways of marketing, limited value addition and delayed payments for delivered produce. agricultural exports have relied heavily on a few key markets.","83"
"7","Agriculture Sectoral Development Strategy","12","The government shall also further reform and streamline agricultural institutions that provide services to farmers such as extension, training, research and regulatory services to ensure that they serve farmers efficiently and cost effectively. We shall also institute policy, legal and regulatory reforms so that individual farmers are encouraged to shift from subsistence to market-oriented production, and to adopt greater use of modern farming practices while increasing integration of agriculture with other sectors in the national economy. **110**",0.421696604251997,"the government shall also further reform and streamline agricultural institutions that provide services to farmers such as extension, training, research and regulatory services to ensure that they serve farmers efficiently and cost effectively. we shall also institute policy, legal and regulatory reforms so that individual farmers are encouraged to shift from subsistence to market oriented production, and to adopt greater use of modern farming practices while increasing integration of agriculture with other sectors in the national economy.","110"
"8","Agriculture Sectoral Development Strategy","12","Cooperatives face many challenges that affect service delivery. These challenges and constraints, both internal and external, include governance and management, adding value to produce, and poor access to market information. **81**",0.418951348507183,"cooperatives face many challenges that affect service delivery. these challenges and constraints, both internal and external, include governance and management, adding value to produce, and poor access to market information.","81"
"9","Agriculture Sectoral Development Strategy","12","The current tax structure is a disincentive to agricultural development. Agriculture faces many taxes and levies at the farm gate and within marketing distribution channels. A rationalized taxation system is needed in agriculture to create a favourable climate for production and for marketing produce. **63**",0.416613929761558,"the current tax structure is a disincentive to agricultural development. agriculture faces many taxes and levies at the farm gate and within marketing distribution channels. a rationalized taxation system is needed in agriculture to create a favourable climate for production and for marketing produce.","63"
"10","Agriculture Sectoral Development Strategy","12","These thrusts will require critical inputs and support from enabling sectors and factors such as a conducive macro-economic environment, security, infrastructure, education and social development. To deliver the vision of the agricultural sector, institutional reforms and better coordination will be critical. **60**",0.414600661043052,"these thrusts will require critical inputs and support from enabling sectors and factors such as a conducive macro economic environment, security, infrastructure, education and social development. to deliver the vision of the agricultural sector, institutional reforms and better coordination will be critical.","60"
