"","sentences","name","country","page","languages"
"21"," farm  rules, 200 9 [l.n. 16 6200 9.] part |   1. citation these rules may be cited as the agriculture farm forestry rules, 200 9. 2. application these rules shall apply for the purposes of promoting and maintaining farm forest cover of at least 1 0 per cent of every agricultural land holding and to preserve and sustain the environment in combating climate change and global warming.","../data/raw/results/Agriculture Rules/2.txt","12","2","en"
"13","provided that the species of trees or varieties planted shall not have adverse effects on water sources, crops, livestock, soil fertility and the neighbourhood and should not be of invasive nature.","../data/raw/results/Agriculture Rules/2.txt","12","2","en"
"14","2 no agricultural landowner or occupier shall grow or maintain any eucalyptus species in wetlands and riparian areas.","../data/raw/results/Agriculture Rules/2.txt","12","2","en"
"1","for the purpose of ascertaining whether the farm owner or occupier has complied with 1 0 per cent farm forestry or nursery requirement.","../data/raw/results/Agriculture Rules/3.txt","12","3","en"
"12","2 if an inspector ascertains that an owner or occupier has not complied with paragraph 1, he shall issue a farm forest establishment notice in form ff1 as set out in the schedule to these rules, requiring the owner or occupier to institute measures to comply with the requirement within such period as may be specified in the notice.","../data/raw/results/Agriculture Rules/4.txt","12","4","en"
"22","3 an inspector shall re-enter an agricultural land or nursery to ascertain compliance with the requirements of the notice issued under paragraph 2 and shall notify the owner or occupier of his intention to report the non-compliance to the district agricultural committee where the owner or occupier has not complied at the expiry of the period specified in the notice or issue a compliance certificate in form cff1 as set out in the schedule to these rules, signed by the chairman of the district agricultural committee where such owner or occupier has complied.","../data/raw/results/Agriculture Rules/4.txt","12","4","en"
"4","4 an inspector shall report to the district agricultural committee any occupier or owner of agricultural land who fails to comply with the provisions of the notice.","../data/raw/results/Agriculture Rules/4.txt","12","4","en"
"5","5 a person who obstructs or hinders an inspector in the exercise of his duties under these rules shall be guilty of an offence.","../data/raw/results/Agriculture Rules/4.txt","12","4","en"
"141","1 the district agricultural committee in consultation with the district environment committee if satisfied with respect to any agricultural land that a land owner or occupier was issued with a farm forestry establishment notice under rule 62 but did not comply with the notice at the expiry of the required period; a land owner or occupier had, but has not continued to maintain a minimum of 1 0 per cent of the land under farm forestry; having regard to the ecological characteristics of the land and the principles of good land management and good husbandry, the land has tree cover but is not reasonably covered with adequate forest cover to reach 1 0 per cent without the addition thereto of more trees; iris in the interests of proper environmental protection and development of the land for agricultural purposes that more trees should be added on the farm; a land owner or occupier is unwilling to comply to either establish or maintain a minimum of 1 0 per cent of the land under farm forestry cover, shall issue a farm forestry establishment and maintenance notice in form ff2 as set out in the schedule to these rules, requiring the owner or occupier to institute measures to comply with the requirement within the period as shall be specified in the notice. 2 where the land owner or occupier has not complied with paragraph 1, the district agricultural committee shall issue a farm forestry establishment and maintenance order in form ff3 as set out in the schedule to these rules.","../data/raw/results/Agriculture Rules/4.txt","12","4","en"
"15","3 the order shall require acts or things to be performed or done or prohibit acts or things from being performed or done to the satisfaction of the district agricultural committee, imposing conditions upon such requirements and describing periods and dates upon, within or before which such acts or things shall be performed or done or such conditions of establishing and maintaining farm forestry.","../data/raw/results/Agriculture Rules/4.txt","12","4","en"
"16","4 a land owner or occupier to whom the order is given under paragraph 2 may, within thirty 3 0 days after service thereof on him, contest the order in writing to the district agricultural committee giving reasons for non-compliance.","../data/raw/results/Agriculture Rules/4.txt","12","4","en"
"3","5 the district agricultural committee may, upon consideration of such contestant either withdraw or vary the order; direct that the order be implemented mutates mutandis. 6 a land owner or occupier who is not satisfied with the decision of the district agricultural committee under this rule may, within thirty 3 0 days after receiving the decision of the district agricultural committee, appeal to the agricultural appeals tribunal.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"41","7 where no appeal is lodged with the agricultural appeals tribunal, the district agricultural committee shall apply to agricultural appeals tribunal to be allowed to plant and maintain the farm forest cover of 1 0 per cent and this shall be a civil debt on the land owner or occupier.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"51","8 in the event of change of user of land from agricultural use to any other use, the new user shall maintain a 1 0 per cent farm forest cover.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"7","1 every district agricultural committee shall identify land under its area of jurisdiction which is at the risk of land degradation and institute measures necessary for ensuring its conservation including planting of trees.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"8","2 where land is at the risk of degradation, the land owner or occupier shall be required to implement farm forestry measures as outlined in paragraph 1.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"131","1 the district agricultural committees shall prepare and oversee the implementation of annual seedling production plan for provision of appropriate and adequate seedlings to land owners or occupiers in the district.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"142","2 the district agricultural committee shall monitor the implementation of the plan in paragraph 1 and submit quarterly district reports to central agricultural board and make copies to the relevant line ministries.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"151","1 every land owner or occupier shall ensure that harvesting of trees shall be done in such manner as to maintain a 1 0 per cent tree cover at all times, with large scale harvesting requiring a harvesting plan as governed by the provisions of the forest act no. 7 of 200 5.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"161","2 the district agricultural committee shall establish mechanisms to facilitate the process of notification and approval for ease of harvesting by land owners or occupiers.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"17","3 a person shall not harvest trees from a farm forest without notification and approval as provided for in paragraph 2","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"18","4 harvesting, processing and movement of farm forest products for commercial purposes shall be governed by the provisions of the forest act no. 7 of 200 5.","../data/raw/results/Agriculture Rules/5.txt","12","5","en"
"23","1 1. farm forestry compensation 1 land owner or occupier who suffers damage to his farm forest trees may seek to be assisted by district agricultural committee in valuation of his damaged trees.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"31","2 the district agricultural committee shall establish procedures for damage assessment.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"42","3 the central agricultural board shall prepare and publish farm tree compensation guidelines for use in assessing compensation rates.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"52","4 the central agricultural board shall review the farm tree compensation guidelines for use in assessing compensation rates after every five years from the date of its publication.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"6","5 where damage occurs due to undertaking of public utility service, the district agricultural committee may upon request carry out damage assessment and forward its report to the requesting party.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"81","1 every inspector shall keep a register containing copies of farm forest establishment notice and certificate of compliance.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"9","2 every district agricultural committee shall keep a register containing copies of farm forest establishment and maintenance notice, certificate of compliance and farm forestry establishment and maintenance order.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"10","1 3. general penalty 1 a person who contravenes any of the provisions of these rules commits an offence.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"11","2 a person who commits an offence for which no specific penalty has been provided shall be liable upon conviction to a fine of six thousand shillings or imprisonment for six months or both.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"143","you are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this order.","../data/raw/results/Agriculture Rules/6.txt","12","6","en"
"91","you are hereby prohibited from doing any of the following things in the farm described in the schedule to this order the district agricultural committee makes the following notice to so.  you are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this notice you are hereby prohibited from doing any of the following things in the farm described in the schedule to this notice a should you be in doubt as to the provisions of this notice, or the farm affected, you should consult an inspector.","../data/raw/results/Agriculture Rules/7.txt","12","7","en"
"32","you are hereby ordered to carry out the following farm forestry activities in the farm described in the schedule to this order you are hereby prohibited from doing any of the following things in the farm described in the schedule to this order-","../data/raw/results/Agriculture Rules/8.txt","12","8","en"
"82","this is to certify that the following farm forestry activities have been undertaken in the farm described in the schedule as per order no.","../data/raw/results/Agriculture Rules/8.txt","12","8","en"
"1127","to achieve the objectives set out in this strategy, an effective coordination and monitoring and evaluation framework is important. the wide range of actors that will be involved in the strategy will require a harmonized and coordinated framework to effectively and efficiently manage activities and resources. the framework provides for regular feedback among agencies entrusted with implementing the strategy. an appropriate institutional framework that uses existing ministries and institutions to implement the activities specified in the strategy, and which facilitates the active participation of the private sector, the civil society and communities, is being developed.","../data/raw/results/Agriculture Sectoral Development Strategy/10.txt","12","10","en"
"268","the implementation framework will be structured at three levels national, middle and local.","../data/raw/results/Agriculture Sectoral Development Strategy/10.txt","12","10","en"
"367","at the national level, sector ministries and ascu will organize the biannual national forum of stakeholders. this will ensure political will, give the strategy a niche and prominence, and provide a platform for reviewing progress in implementing the strategy and the extent to which its objectives are being achieved. the forum will discuss problems constraining progress and ways of overcoming them, and consider current and future prospects. to give the forum appropriate profile, the highest political authority in the country will preside over it.","../data/raw/results/Agriculture Sectoral Development Strategy/10.txt","12","10","en"
"561","the purpose of the middle-level institutions is to provide a link between national and local level implementation of asds, technical support and coordination between ministries and stakeholders. in this connection, the following institutions will be strengthened  the inter-ministerial coordination committee icc will be expanded to include all ministries that provide services to the agricultural sector. the icc will be composed of permanent secretaries of the collaborating ministries, and will be responsible for coordinating the planning of the strategy at the agricultural sector level and monitoring its implementation to ensure that its goals are achieved.","../data/raw/results/Agriculture Sectoral Development Strategy/10.txt","12","10","en"
"653"," sector ministries have established a technical committee that acts as the secretariat for the icc. the technical committee consists of directors of sector ministries, private sector representatives, development partners and the ascu","../data/raw/results/Agriculture Sectoral Development Strategy/10.txt","12","10","en"
"1428","and harmonizing sanitary measures with neighbouring countries. appropriate strategies will also be developed for conserving the environment in asals. keeping of camels and other non-traditional livestock such as ostrich and wildlife through game ranching and sanctuary management will also be promoted.","../data/raw/results/Agriculture Sectoral Development Strategy/100.txt","12","100","en"
"3111","to increase the area under crops, about 9.2 million ha of irrigation potential that currently lie largely unused in the asals will be exploited. irrigation schemes will be established in various parts of the region, particularly the tana and at hi basins, to increase agricultural production and reduce dependence on rainfed production. the implementation of appropriate strategies will reduce the adverse effects on the environment and on pastoral communities.","../data/raw/results/Agriculture Sectoral Development Strategy/100.txt","12","100","en"
"457","rainfed production will be encouraged for emerging high-value, drought-tolerant crops such as jatropha, melia, indigenous fruits, medicinal species, gum arabic and resins. in addition, research in and adoption of drought-tolerant crop varieties such as cotton, sisal, sorghum, millet and pigeon peas will be promoted.","../data/raw/results/Agriculture Sectoral Development Strategy/100.txt","12","100","en"
"61","to reduce poverty among communities in asal, diversification of income and employment sources will be promoted. this will include enhancing livestock value adding projects such as processing meat, milk, honey, hides, skins and bone, as well as soap and oil making. commercial tree planting will be encouraged to provide income, medicines, fodder, foliage, biofuels, fruits, juices and jams, dyes, silk and spices.","../data/raw/results/Agriculture Sectoral Development Strategy/100.txt","12","100","en"
"744","priority will be given to the establishment of wildlife conservancies and game farming as a land use under local community management.","../data/raw/results/Agriculture Sectoral Development Strategy/100.txt","12","100","en"
"2211","kenya has seen rapid economic development. however, coupled with rapid population growth this development has exerted cumulative pressure on the environment and natural resources. increased industrial activity and trade have resulted in problems in managing waste and pollution. the importance of the sustainability of the environment and natural resources cannot be underestimated in the countrys economic development plan. the subsector is crucial to achieving sustainable development in the country and, particularly, in achieving mfg 7 ensuring environmental sustainability.","../data/raw/results/Agriculture Sectoral Development Strategy/101.txt","12","101","en"
"3210","kenyas various habitats and ecosystemsforests, grasslands, wetlands, coral reefs and mangroves are biodiversity hotspots. most of the countrys biodiversity is also found within protected areas, which make up these habitats and ecosystems.","../data/raw/results/Agriculture Sectoral Development Strategy/101.txt","12","101","en"
"5110","the country is home to over 650 0 plant species; 26 0 are found nowhere else in the world. with more than 100 0 bird species and over 35 0 mammal species, kenya ranks second highest among african countries in species richness for these animal groups. over time, the country has lost some of her well-known biodiversity resources mainly due to population increase, habitat destruction, desertification, over-exploitation of species, and conversion through deforestation and drainage of wetlands for agriculture and settlement. .","../data/raw/results/Agriculture Sectoral Development Strategy/101.txt","12","101","en"
"62","pollution and waste are some of the leading environmental health problems in the country affecting both rural and urban populations. although the quality of air in kenya is not regularly monitored, it is estimated that it is below the who recommended levels.","../data/raw/results/Agriculture Sectoral Development Strategy/101.txt","12","101","en"
"839","agricultural wastes can be in the form of liquids, slurries or solids. the major components of these wastes are biodegradable. however, they also contain components such as nitrogen, human and animal pathogens, medicinals, feed additives, salts, and certain metals that under uncontrolled conditions are harmful to aquatic, plant, animal, or human life. in rural areas, the most common method of disposing of these wastes is by applying them to the land. hazards to humans occur either directly via water or indirectly via crops and animals fed or grazing on the crops. use of these wastes as animal feed can also be a pathway.","../data/raw/results/Agriculture Sectoral Development Strategy/101.txt","12","101","en"
"1620","has been found that sometimes the by-products could be more valuable than the main products. while in kenya no major crises have been associated with hazardous materials in agricultural solid wastes, the potential for problems should not be underestimated. discharge of agricultural and industrial chemicals into water bodies or disposing of them on land masses is killing ecosystems. the use of mercury to form amalgam during gold processing around lake victoria is gradually polluting the various rivers flowing into the lake with mercury, as is evidenced by the accumulation of the mineral in fish.","../data/raw/results/Agriculture Sectoral Development Strategy/102.txt","12","102","en"
"2312","pesticide use in urban and peri-urban production of crops and animals carries serious risks. these households make regular use of highly toxic pesticides not necessarily related to pest type or pest pressure, often near densely populated areas. urban households are also vulnerable to other contaminants. farmers take advantage of the nutrients in urban and peri-urban wetlands, sewage disposal areas and dumpsites to plant food crops. these areas contain heavy metals and pathogens, and the air around is generally heavily polluted.","../data/raw/results/Agriculture Sectoral Development Strategy/102.txt","12","102","en"
"4110","water catchments are being encroached and converted into agricultural land. this has led to reduced water levels in rivers, drying up of seasonal rivers and destruction of fragile ecosystems. vital for carbon sequestration, wetlands are lost every day to agricultural production. the effect of invasive species such as the water hyacinth on water bodies is compounded by limited functional mechanisms for monitoring and regulating the introduction into the country of alien invasive species. .","../data/raw/results/Agriculture Sectoral Development Strategy/102.txt","12","102","en"
"8110","while appreciating the contribution of urban and peri-urban agriculture to financial, food and nutritional security particularly for the urban poor, ways should be sought to educate both producers and consumers of the hazards and risks of agricultural waste, without compromising the benefits derived. the inability to capture the unrealized value of by-products could be attributed to three factors  lack of information about uses of by-products and lack of market opportunities for products made from by-products  the dearth of ancillary industries that are able to make use of specific by-products. for instance, lactic acid is produced as a by-product of the fermenting process in meat packing plants, it has more value being used as a flavouring agent instead of being consumed in other low-value uses as in animal feeds  the low level of market development, for instance, straw is mainly used as animal feed in developing countries whereas in some industrialized countries straw is now being processed into an interior building material.","../data/raw/results/Agriculture Sectoral Development Strategy/102.txt","12","102","en"
"110","the above challenges combined with low capacities and awareness have contributed to destruction of the environment particularly while extracting land-based resources and insufficient enforcement of regulations.","../data/raw/results/Agriculture Sectoral Development Strategy/103.txt","12","103","en"
"63","to address these challenges, the environment subsector will implement the following intervention strategies  improving environmental conservation  improving pollution and waste managementenhancing conservation and management of resources  implement the national climate change response state8 p' st unsustainable use of natural resources leads to environmental degradation. indices of degradation include floods, landslides, droughts and desertification. environmental disasters and their effects are cumulative and long term.","../data/raw/results/Agriculture Sectoral Development Strategy/103.txt","12","103","en"
"8210","urban forestry developments, important in fixing carbon emitted from industrial processes and motor vehicles, will be encouraged along highways and recreational parks in all urban centres.","../data/raw/results/Agriculture Sectoral Development Strategy/103.txt","12","103","en"
"1128","with the increasing per capita solid and liquid waste generation in the country, the risks to human health are real and call for the design of appropriate agricultural waste management systems. manpower and financial support shall be provided to obtain more detailed information on how much agricultural waste is produced in the country, the modes of dispersing hazards to humans, animals and crops, and the associated risks.","../data/raw/results/Agriculture Sectoral Development Strategy/103.txt","12","103","en"
"1224","the sector will ensure that information is available on market opportunities for byproducts, encourage the establishment of ancillary industries in areas with agro-processing activities, and develop markets for by-products of agricultural waste.","../data/raw/results/Agriculture Sectoral Development Strategy/103.txt","12","103","en"
